date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:31:48	20815/20815	---M--	200	added ('OK')	image/png	etag:%225cd1a1f6-514f%22	http://preview.uideck.com/items/unfold/assets/images/blog/bolg-detailes/cm-1.png	C:/My%20Web%20Sites/unfold/preview.uideck.com/items/unfold/assets/images/blog/bolg-detailes/cm-1.png	(from http://preview.uideck.com/items/unfold/blog-details.html)
19:31:51	18432/18432	---M--	200	added ('OK')	image/png	etag:%225cd1a1f5-4800%22	http://preview.uideck.com/items/unfold/assets/images/blog/bolg-detailes/cm-2.png	C:/My%20Web%20Sites/unfold/preview.uideck.com/items/unfold/assets/images/blog/bolg-detailes/cm-2.png	(from http://preview.uideck.com/items/unfold/blog-details.html)
19:31:53	110626/110626	---M--	200	added ('OK')	image/jpeg	etag:%225cd1a1ee-1b022%22	http://preview.uideck.com/items/unfold/assets/images/work/w-5.jpg	C:/My%20Web%20Sites/unfold/preview.uideck.com/items/unfold/assets/images/work/w-5.jpg	(from http://preview.uideck.com/items/unfold/)
19:31:53	9597/9597	---M--	200	added ('OK')	image/jpeg	etag:%225cd1a1fd-257d%22	http://preview.uideck.com/items/unfold/assets/images/blog/bolg-detailes/sidebar-post/p-1.jpg	C:/My%20Web%20Sites/unfold/preview.uideck.com/items/unfold/assets/images/blog/bolg-detailes/sidebar-post/p-1.jpg	(from http://preview.uideck.com/items/unfold/blog-details.html)
19:31:54	6354/6354	---M--	200	added ('OK')	image/jpeg	etag:%225cd1a1fe-18d2%22	http://preview.uideck.com/items/unfold/assets/images/blog/bolg-detailes/sidebar-post/p-2.jpg	C:/My%20Web%20Sites/unfold/preview.uideck.com/items/unfold/assets/images/blog/bolg-detailes/sidebar-post/p-2.jpg	(from http://preview.uideck.com/items/unfold/blog-details.html)
19:31:55	5518/5518	---M--	200	added ('OK')	image/jpeg	etag:%225cd1a1fe-158e%22	http://preview.uideck.com/items/unfold/assets/images/blog/bolg-detailes/sidebar-post/p-3.jpg	C:/My%20Web%20Sites/unfold/preview.uideck.com/items/unfold/assets/images/blog/bolg-detailes/sidebar-post/p-3.jpg	(from http://preview.uideck.com/items/unfold/blog-details.html)
19:31:56	3366/3366	---M--	200	added ('OK')	image/png	etag:%225cd1a1c6-d26%22	http://preview.uideck.com/items/unfold/assets/images/logo-2.png	C:/My%20Web%20Sites/unfold/preview.uideck.com/items/unfold/assets/images/logo-2.png	(from http://preview.uideck.com/items/unfold/)
19:31:57	42863/42863	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cd1a1d6-a76f%22	http://preview.uideck.com/items/unfold/assets/js/slick.min.js	C:/My%20Web%20Sites/unfold/preview.uideck.com/items/unfold/assets/js/slick.min.js	(from http://preview.uideck.com/items/unfold/blog-details.html)
19:32:09	215251/215251	---M--	200	added ('OK')	image/jpeg	etag:%225cd1a1f8-348d3%22	http://preview.uideck.com/items/unfold/assets/images/blog/bolg-detailes/bolg-detailes.jpg	C:/My%20Web%20Sites/unfold/preview.uideck.com/items/unfold/assets/images/blog/bolg-detailes/bolg-detailes.jpg	(from http://preview.uideck.com/items/unfold/blog-details.html)
19:32:09	102077/102077	---M--	200	added ('OK')	image/jpeg	etag:%225cd1a1ea-18ebd%22	http://preview.uideck.com/items/unfold/assets/images/blog/b-1.jpg	C:/My%20Web%20Sites/unfold/preview.uideck.com/items/unfold/assets/images/blog/b-1.jpg	(from http://preview.uideck.com/items/unfold/)
19:32:11	273970/273970	---M--	200	added ('OK')	image/jpeg	etag:%225cd1a1c6-42e32%22	http://preview.uideck.com/items/unfold/assets/images/page-banner.jpg	C:/My%20Web%20Sites/unfold/preview.uideck.com/items/unfold/assets/images/page-banner.jpg	(from http://preview.uideck.com/items/unfold/blog-details.html)
